,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D
b-D-Glcx2NAc(6S)-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,0.3120235213107228,0.025887646592296733,0.07910437791692343,0.05261868531369161,0.1148601712702196,0.1169815011246774,0.09192670890217973,0.06213377085508515,0.053962786920176906,0.06966529732079049,0.08015967249027559,0.06470422251988983,0.23028348297199594,0.02937025176942609,0.08238364096272313,0.045877643058076914,0.1486869775936863,0.11833167257427325,0.09339504465378996,0.04841303631637001,0.030828734089798963,0.031756342755513145,0.09937349628827397,0.07528765139736998
a-D-Neux5Ac-(2-6)-[a-D-Galx2NAc-(1-3)]?-D-Galx2NAc,0.14823781444177875,0.02883199142521613,0.0448500545138784,0.027828434739360083,-0.023001343766636657,0.03935117269879957,-0.027042132261572517,0.03718650785195289,0.03959127657741735,0.01801944184940335,0.037359452847166914,0.0025233278088238626,0.04082372233345714,0.029484739020330882,0.05928822705205681,0.027274022304877923,-0.0363036014803937,0.0032593691325313355,0.04550828152060733,0.01838329436278763,0.034718908084375305,-0.0007862359900880043,0.03407984837787633,-0.005971524747106182
a-D-Neux5Ac-(2-6)-[b-D-Glcx2NAc-(1-3)]?-D-Galx2NAc,0.08976243694769459,0.024120176459268887,0.041774222046015726,0.025356440802406285,0.014563681539726387,0.04718755407103144,0.005737906604140436,0.035575632311265495,0.046993996866635086,0.031962379143797265,0.04325301793656222,0.03479467960547866,0.05066272864817852,0.03344907367852662,0.05988096649379624,0.03411787548546997,-0.017379486097898862,0.017235985921182657,0.04978954842324286,0.03375493883828281,0.03654363339303462,0.06879836029128687,0.02473198801828788,0.03483689898957852
a-D-Glcx2NAc-(1-4)-b-D-Galx-(1-3)-?-D-Galx2NAc,-0.3192700961291485,0.0363129868051197,-0.014431633563311506,0.03639270954219266,-0.073051062304241,-0.0010375368936835004,0.03003745306808485,0.013651104813449541,-0.04278293060937405,0.04256205081991688,-0.08854722183091497,-0.013278282839749215,-0.08799115757811861,0.0294676513709421,-0.028226537873193763,-0.017927853620626454,-0.018633567551058085,-0.017568137733205445,0.027438281338550717,0.04227813733276363,0.02553562705983416,-0.15785015968724075,-0.002312545839645209,-0.020905023839947853
?-D-Galx-(1-?)-[?-L-Fucx-(1-?)]b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,0.9947153560713288,0.33432269458267183,0.3534390069424392,0.3591648065035647,0.5226382866685596,0.5075480025377334,0.17186597030980072,0.33566725618461163,0.34782358080525794,0.21952072007862747,0.5471981129092073,0.5002507111049126,0.7579912481767033,0.3689817298852733,0.3878422713204093,0.3826144837225287,0.5510003334298906,0.5611328517477332,0.3776300574300534,0.342593137565899,0.33946628188356576,0.24251747341709004,0.32477217267922875,0.5376340906927577
a-D-Neux5Ac-(2-6)-[a-D-Neux5Ac-(2-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,-0.03914571298973128,0.0028270889795683485,-0.005218680376296588,-0.009244073135494878,-0.03619476419503575,-0.023298502185410026,-0.027125863575491488,-0.014060642219428527,0.007065938613767762,-0.04299211635172216,0.004297990150559024,-0.0626090171670618,-0.0651222627902552,-0.003250925296214401,-0.024276607930710903,0.0006590377136866414,-0.04177850278602113,-0.014522146791765675,-0.0015938763201307044,-0.05110058987061372,-0.04235959440567294,-0.03965015209599671,0.030412676761099187,-0.0726606420200354
a-D-Glcx2NAc-(1-4)-b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-?-D-Galx2NAc,0.3000032789931304,0.17278621128713484,0.18170790041844245,0.2189257780119841,0.19843202387152165,0.2192280976275197,0.2694586693501781,0.14727067396816612,0.1234291887382798,0.2991500886915179,0.17404632054669278,0.3173872854117273,0.5266133342997181,0.15355645246728564,0.16853939003540727,0.17392410825860424,0.3059862479860745,0.2466354954966153,0.4268634522515409,0.2522791845308209,0.42763139425857216,0.04593787108983153,0.249616146522356,0.3247049932648182
b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,0.1564872146592854,0.6583804664696817,0.5512231147463271,0.7049264470786072,0.6060072909482457,0.5843689894954872,0.6001840034150047,0.5986183972214529,0.4002274571623422,0.6818388872700217,0.5377935642269223,0.7427373241697828,0.6489830308850577,0.6446943703030323,0.4529879066871008,0.6724156723223929,0.7579509026673518,0.6961149286702262,0.6262101626352871,0.7129282333004399,0.7763792116063762,0.5071352271679779,0.5982442130660982,0.7923443913385851
b-D-Glcx2NAc-(1-6)-[b-D-Glcx2NAc-(1-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,0.5225512752550784,0.38081571947795984,0.3071399175181317,0.4056279308670632,0.3319857029191114,0.3624169657029796,0.6060955369154924,0.35886215934030824,0.22110235118945465,0.4887094500821947,0.4376697993600449,0.3738157711231404,0.4418076229649292,0.3312987638794432,0.3043916993625552,0.4150670216007211,0.4300020390856841,0.4307636108009416,0.4962469909271202,0.446910498198743,0.6447624769102069,0.024986037533279458,0.564115526187718,0.4418935523974076
a-D-Galx2NAc-(1-3)-[a-L-Fucx-(1-2)]b-D-Galx-(1-3)-?-D-Galx2NAc,0.15229830093505956,0.2712314921886382,0.23320466190621875,0.2766153814271844,0.286318336080755,0.2870497842174024,0.11535452506109048,0.3179604099635637,0.2464969848325191,0.2825021455787021,0.2808909057978305,0.2173960424619636,0.110847368564103,0.3230078363960096,0.3062106238903989,0.3683818038673345,0.2308332509239333,0.2194991758353688,0.01825323135813648,0.2848225840108909,0.26649341133800103,0.6312423070875108,0.15608699079437108,0.25283252616913826
