m/z [M-H]-,RT (min),Composition,Structure,Core,Epitope,HexNAc,Hexose,Fucose,Neu5Ac,Sulfation,Monosaccharides,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D,Mean A,Mean B,Mean C,Mean D,p.AB,q.AB,p.CD,q.CD,p.AC,q.AC,p.BD,q.BD,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N,% ,SEM,N
1057.44,14.25,Hex3HexNAc2dHex1,"Galβ1,3(Galα1,3(Fucα1,2)Galβ1,3GlcNAcβ1,6)GalNAcol",2,blood B,2,3,1,,,6,0.202,-1.000,-1.000,-1.000,-1.000,-1.000,-0.639,-1.000,-1.000,-1.000,-1.000,-1.000,0.350,-1.000,-1.000,-1.000,-1.000,-1.000,-0.017,-1.000,-1.000,-1.000,-1.000,-1.000,-0.800,-0.940,-0.775,-0.836,0.518,0.842,0.830,0.956,0.936,0.992,0.566,0.972,0.249,0.249,6,0.022,0.022,6,0.356,0.356,6,0.143,0.143,6,0.303,0.208,12,0.083,0.072,12
1098.38,14.79,Hex2HexNAc3dHex1,"GlcNAcα1,4Galβ1,3(Fucα1,2Galβ1,4GlcNAcβ1,6)GalNAcol",2,"H, αGlcNAc",3,2,1,,,6,0.385,-0.554,0.052,-0.689,-0.198,0.013,-0.328,-0.478,0.002,-0.355,0.230,0.145,0.563,-0.558,-0.018,-0.798,0.077,0.199,0.142,-0.704,-0.157,0.353,0.259,0.097,-0.165,-0.131,-0.089,-0.002,0.869,0.964,0.743,0.956,0.778,0.992,0.529,0.972,0.851,0.333,6,0.790,0.231,6,1.205,0.520,6,1.167,0.303,6,1.028,0.299,12,0.979,0.191,12
1098.49,20.82,Hex2HexNAc3dHex1,"GalNAcα1,3(Fucα1,2)Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,blood A,3,2,1,,,6,-0.075,-1.000,-0.093,-1.000,-0.260,-0.146,-0.362,-1.000,0.133,-1.000,-0.036,-0.198,-0.142,-1.000,-0.027,-1.000,-0.161,-0.134,-0.105,-1.000,-0.316,-1.000,-0.198,-0.205,-0.429,-0.410,-0.411,-0.471,0.947,0.964,0.818,0.956,0.946,0.992,0.823,0.972,0.419,0.139,6,0.491,0.201,6,0.447,0.146,6,0.355,0.119,6,0.433,0.096,12,0.423,0.113,12
1098.52,23.59,Hex2HexNAc3dHex1,"Fucα1,2Galβ1,3(HexNAc-Galβ1,4GlcNAcβ1,6)GalNAcol",2,H,3,2,1,,,6,0.213,-0.091,0.518,-0.253,0.212,0.119,-0.973,0.366,0.867,-0.245,0.393,-0.388,0.040,-0.004,0.496,-0.483,0.285,0.212,-0.276,-0.270,-0.116,-0.355,0.298,-0.360,0.120,0.003,0.091,-0.180,0.698,0.943,0.143,0.887,0.871,0.992,0.541,0.972,1.441,0.394,6,2.106,1.110,6,1.417,0.394,6,0.683,0.246,6,1.429,0.266,12,1.394,0.583,12
1114.44,19.58,Hex3HexNAc3,"Gal-GlcNAcβ1,3Galβ1,3(Galβ1,4GlcNAcβ1,6)GalNAcol",2,,3,3,,,,6,0.088,-0.324,-0.370,-0.147,0.249,-0.140,-0.251,-0.043,-0.078,-0.350,0.460,0.254,-0.349,-0.141,-0.053,0.464,-0.105,-0.231,-0.499,-0.084,-0.215,0.449,-0.250,0.200,-0.107,-0.001,-0.069,-0.067,0.518,0.842,0.989,0.992,0.804,0.992,0.734,0.972,0.789,0.211,6,1.139,0.382,6,0.957,0.376,6,1.018,0.382,6,0.873,0.207,12,1.078,0.258,12
1114.47,21.08,Hex3HexNAc3,"Galβ1,3(Galβ1,4GlcNAcβ1,3Galβ1,4GlcNAcβ1,6)GalNAcol",2,,3,3,,,,6,-0.458,-0.740,-0.848,-0.156,-0.210,-0.475,-0.729,-0.692,-0.795,-0.936,-0.132,-0.354,-0.732,-0.673,-0.214,0.254,-0.681,-0.801,-0.886,-0.387,-0.713,-0.318,-0.515,-0.239,-0.481,-0.606,-0.474,-0.510,0.471,0.842,0.861,0.963,0.974,0.992,0.558,0.972,0.287,0.092,6,0.208,0.098,6,0.429,0.263,6,0.250,0.070,6,0.358,0.134,12,0.229,0.058,12
1121.47,22.85,Hex2HexNAc2dHex2Sul1,"Fucα1,2Galβ1,3(Fucα1,2Galβ1,4(S)GlcNAcβ1,6)GalNAcol",2,H,2,2,2,,1,6,-0.255,0.230,-0.039,-0.511,-0.568,-0.658,-0.906,-0.275,-0.001,-0.776,-0.109,-0.634,-0.348,0.110,-0.162,-0.248,-0.522,-0.563,-0.401,-0.504,-0.073,-0.254,-0.605,-0.581,-0.300,-0.450,-0.289,-0.403,0.487,0.842,0.408,0.905,0.949,0.992,0.792,0.972,0.561,0.233,6,0.372,0.147,6,0.494,0.153,6,0.337,0.094,6,0.528,0.133,12,0.354,0.083,12
1121.47,25.80,Hex2HexNAc2dHex2Sul1,"Fucα1,2Galβ1,4GlcNAcβ1,6(Fucα1,2)(S)Galβ1,3GalNAcol",1,H,2,2,2,,1,6,0.001,0.130,-0.147,-0.907,-0.900,-0.786,-0.958,-0.558,-0.176,-0.816,-0.554,-0.693,-0.153,0.010,-0.301,-0.174,-0.669,-0.834,-0.800,-0.809,-0.203,-0.500,-0.573,-0.534,-0.435,-0.626,-0.353,-0.570,0.416,0.842,0.212,0.887,0.738,0.992,0.703,0.972,0.479,0.214,6,0.182,0.082,6,0.443,0.134,6,0.203,0.070,6,0.461,0.121,12,0.192,0.052,12
1139.49,22.69,Hex1HexNAc4dHex1,"GalNAcα1,3(Fucα1,2)Galβ1,3(GalNAcβ1,4GlcNAcβ1,6)GalNAcol",2,"LacdiNAc, A",4,1,1,,,6,0.211,-1.000,-0.111,-1.000,0.187,-0.017,-0.007,-1.000,-0.173,-1.000,-0.372,0.170,0.225,-1.000,-0.075,-1.000,0.131,0.043,0.046,-1.000,-0.186,-1.000,-0.632,0.149,-0.288,-0.397,-0.279,-0.437,0.732,0.943,0.624,0.956,0.979,0.992,0.893,0.972,0.750,0.272,6,0.527,0.220,6,0.763,0.266,6,0.501,0.228,6,0.756,0.181,12,0.514,0.151,12
1155.45,17.13,Hex2HexNAc4,"GlcNAcα1,4Galβ1,3(GlcNAcα1,4Galβ1,4GlcNAcβ1,6)GalNAcol",2,,4,2,,,,6,0.264,-0.239,0.078,-0.188,0.432,-0.016,0.044,0.012,0.463,-0.271,0.425,0.149,-0.029,-0.119,0.221,0.291,0.035,0.014,-0.222,-0.162,-0.086,0.365,-0.064,0.153,0.055,0.137,0.069,-0.002,0.607,0.926,0.532,0.956,0.914,0.992,0.355,0.972,1.221,0.333,6,1.508,0.390,6,1.139,0.190,6,1.019,0.267,6,1.180,0.183,12,1.264,0.237,12
